date,open,high,low,close,adj_close,volume
12/6/22,147.070007,147.300003,141.919998,142.910004,142.692139,64727200
12/7/22,142.190002,143.369995,140,140.940002,140.725143,69721100
12/8/22,142.360001,143.520004,141.100006,142.649994,142.432526,62128300
12/9/22,142.339996,145.570007,140.899994,142.160004,141.943283,76097000
12/12/22,142.699997,144.5,141.059998,144.490005,144.26973,70462700
12/13/22,149.5,149.970001,144.240005,145.470001,145.24823,93886200
12/14/22,145.350006,146.660004,141.160004,143.210007,142.991684,82291200
12/15/22,141.110001,141.800003,136.029999,136.5,136.291901,98931900
12/16/22,136.690002,137.649994,133.729996,134.509995,134.304932,160156900
12/19/22,135.110001,135.199997,131.320007,132.369995,132.168198,79592600
12/20/22,131.389999,133.25,129.889999,132.300003,132.098312,77432800
12/21/22,132.979996,136.809998,132.75,135.449997,135.2435,85928000
12/22/22,134.350006,134.559998,130.300003,132.229996,132.028412,77852100
12/23/22,130.919998,132.419998,129.639999,131.860001,131.658981,63814900
12/27/22,131.380005,131.410004,128.720001,130.029999,129.831772,69007800
12/28/22,129.669998,131.029999,125.870003,126.040001,125.847855,85438400
12/29/22,127.989998,130.479996,127.730003,129.610001,129.412415,75703700
12/30/22,128.410004,129.949997,127.43,129.929993,129.731918,77034200
1/3/23,130.279999,130.899994,124.169998,125.07,124.879326,112117500
1/4/23,126.889999,128.660004,125.080002,126.360001,126.167366,89113600
1/5/23,127.129997,127.769997,124.760002,125.019997,124.829399,80962700
1/6/23,126.010002,130.289993,124.889999,129.619995,129.422394,87754700
1/9/23,130.470001,133.410004,129.889999,130.149994,129.951584,70790800
1/10/23,130.259995,131.259995,128.119995,130.729996,130.530701,63896200
1/11/23,131.25,133.509995,130.460007,133.490005,133.286499,69458900
1/12/23,133.880005,134.259995,131.440002,133.410004,133.206619,71379600
1/13/23,132.029999,134.919998,131.660004,134.759995,134.55455,57809700
1/17/23,134.830002,137.289993,134.130005,135.940002,135.732758,63646600
1/18/23,136.820007,138.610001,135.029999,135.210007,135.003876,69672800
1/19/23,134.080002,136.25,133.770004,135.270004,135.063782,58280400
